old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
GR/IR CLEARING - BEI,INVENTORY - Bebang Enterprise Inc.,1104005,GR/IR CLEARING - BEI,,,Asset,,NOOP,0
HDMF CONTRIBUTION-CREW/STAFF - Bebang Enterprise Inc.,,6002205,HDMF CONTRIBUTION-CREW/STAFF - BEI,,,Expense,Income Statement,UNRESOLVED,0
HDMF CONTRIBUTION-MGT - Bebang Enterprise Inc.,,6002202,HDMF CONTRIBUTION-MGT - BEI,,,Expense,Income Statement,UNRESOLVED,0
INCOME TAX PAYABLE - Bebang Enterprise Inc.,SHORT TERM DEBT - Bebang Enterprise Inc.,2102201,INCOME TAX PAYABLE - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
INPUT VAT - GOODS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105103,INPUT VAT - GOODS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
INPUT VAT - IMPORTATION - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105105,INPUT VAT - IMPORTATION - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
INPUT VAT - SERVICES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105104,INPUT VAT - SERVICES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
INSURANCE - Bebang Enterprise Inc.,,6020401,INSURANCE - BEI,,,Expense,Income Statement,UNRESOLVED,0
Inter Company Payable - BKI - BEI,CURRENT LIABILITIES - Bebang Enterprise Inc.,2101200,Inter Company Payable - BKI - BEI,,,Liability,Inter Company Account,NOOP,0
INTEREST EXPENSE-BANKS - Bebang Enterprise Inc.,,6030003,INTEREST EXPENSE-BANKS - BEI,,,Expense,Income Statement,UNRESOLVED,0
INTEREST EXPENSE-OTHERS - Bebang Enterprise Inc.,,6030002,INTEREST EXPENSE-OTHERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
INTERNET CHARGES - Bebang Enterprise Inc.,,6004005,INTERNET CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
INVENTORY - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104000,INVENTORY - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
INVENTORY - COMMISSARY - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104001,INVENTORY - COMMISSARY - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
INVENTORY - STORES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104003,INVENTORY - STORES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
JANITORIAL SUPPLIES - Bebang Enterprise Inc.,,6006002,JANITORIAL SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
KITCHEN EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206402,KITCHEN EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
LEASE RELATED EXPENSES - Bebang Enterprise Inc.,,6020300,LEASE RELATED EXPENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
LEASEHOLD IMPROVEMENTS - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206401,LEASEHOLD IMPROVEMENTS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
LEGAL FEES - Bebang Enterprise Inc.,,6020603,LEGAL FEES - BEI,,,Expense,Income Statement,UNRESOLVED,0
LIABILITIES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2000000,LIABILITIES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
LOANS PAYABLE - CURRENT - Bebang Enterprise Inc.,NON-CURRENT LIABILITIES - Bebang Enterprise Inc.,2104101,LOANS PAYABLE - CURRENT - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
LOANS PAYABLE - NON CURRENT - Bebang Enterprise Inc.,,2201100,LOANS PAYABLE - NON CURRENT - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
LOCAL AD & PROMO - Bebang Enterprise Inc.,,6005000,LOCAL AD & PROMO - BEI,,,Expense,,UNRESOLVED,1
LOGISTIC COST - Bebang Enterprise Inc.,,6003000,LOGISTIC COST - BEI,,,Expense,Income Statement,UNRESOLVED,0
LOGISTICS COST-COMMISSARY - Bebang Enterprise Inc.,,6003001,LOGISTICS COST-COMMISSARY - BEI,,,Expense,Income Statement,UNRESOLVED,0
LOGISTICS COST-PCF - Bebang Enterprise Inc.,,6003002,LOGISTICS COST-PCF - BEI,,,Expense,Income Statement,UNRESOLVED,0
LOGISTICS COST-WAREHOUSE - Bebang Enterprise Inc.,,6003003,LOGISTICS COST-WAREHOUSE - BEI,,,Expense,Income Statement,UNRESOLVED,0
LONG-TERM DEBT - Bebang Enterprise Inc.,,2201000,LONG-TERM DEBT - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
MANAGEMENT & CREW INCENTIVES - Bebang Enterprise Inc.,,6002309,MANAGEMENT & CREW INCENTIVES - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT FEE (2.5%) - Bebang Enterprise Inc.,,6020701,MANAGEMENT FEE (2.5%) - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT FEE (2%) - Bebang Enterprise Inc.,,6020702,MANAGEMENT FEE (2%) - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES - Bebang Enterprise Inc.,,6001001,MANAGEMENT SALARIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-13TH MONTH PAY - Bebang Enterprise Inc.,,6001011,MANAGEMENT SALARIES-13TH MONTH PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-ALLOWANCES - Bebang Enterprise Inc.,,6001013,MANAGEMENT SALARIES-ALLOWANCES - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-BASIC PAY - Bebang Enterprise Inc.,,6001002,MANAGEMENT SALARIES-BASIC PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-DE MINIMIS - Bebang Enterprise Inc.,,6001003,MANAGEMENT SALARIES-DE MINIMIS - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-HOLIDAY PAY - Bebang Enterprise Inc.,,6001005,MANAGEMENT SALARIES-HOLIDAY PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-HONORARIUM - Bebang Enterprise Inc.,,6001004,MANAGEMENT SALARIES-HONORARIUM - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-LAST PAY - Bebang Enterprise Inc.,,6001009,MANAGEMENT SALARIES-LAST PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - Bebang Enterprise Inc.,,6001008,MANAGEMENT SALARIES-NIGHT DIFFERENTIAL - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-OVERTIME PAY - Bebang Enterprise Inc.,,6001007,MANAGEMENT SALARIES-OVERTIME PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-REST DAY PAY - Bebang Enterprise Inc.,,6001006,MANAGEMENT SALARIES-REST DAY PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-SEPARATION PAY - Bebang Enterprise Inc.,,6001010,MANAGEMENT SALARIES-SEPARATION PAY - BEI,,,Expense,Income Statement,UNRESOLVED,0
MANAGEMENT SALARIES-SL/VL CONVERSION - Bebang Enterprise Inc.,,6001012,MANAGEMENT SALARIES-SL/VL CONVERSION - BEI,,,Expense,Income Statement,UNRESOLVED,0
MARKETING GIVEAWAYS - Bebang Enterprise Inc.,LOCAL AD & PROMO - Bebang Enterprise Inc.,6005001,MARKETING GIVEAWAYS - BEI,,,Expense,Expense Account,UNRESOLVED,0
MEALS - Bebang Enterprise Inc.,,6002301,MEALS - BEI,,,Expense,Income Statement,UNRESOLVED,0
MEDICAL & PERSONAL ACCIDENT INSURANCE - Bebang Enterprise Inc.,,6002303,MEDICAL & PERSONAL ACCIDENT INSURANCE - BEI,,,Expense,Income Statement,UNRESOLVED,0
MEMBERSHIP DUES & SUBSCRIPTION - Bebang Enterprise Inc.,,6010205,MEMBERSHIP DUES & SUBSCRIPTION - BEI,,,Expense,Income Statement,UNRESOLVED,0
MINIMUM GUARANTEED RENT - Bebang Enterprise Inc.,,6020201,MINIMUM GUARANTEED RENT - BEI,,,Expense,Income Statement,UNRESOLVED,0
MISCELLANEOUS EXPENSES - Bebang Enterprise Inc.,,6010200,Miscellaneous Expenses - BEI,Indirect Expenses - BEI,,Expense,Income Statement,RENAME,0
MOTOR & CAR TAXI/JEEPNEY FARES - Bebang Enterprise Inc.,,6010003,MOTOR & CAR TAXI/JEEPNEY FARES - BEI,,,Expense,Income Statement,UNRESOLVED,0
MOTOR VEHICLE - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206406,MOTOR VEHICLE - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
MYSTERY SHOPPER COST - Bebang Enterprise Inc.,,6010210,MYSTERY SHOPPER COST - BEI,,,Expense,Income Statement,UNRESOLVED,0
NATIONAL ADVERTISING FUND (3% ON NET SALES) - Bebang Enterprise Inc.,,6020102,NATIONAL ADVERTISING FUND (3% ON NET SALES) - BEI,,,Expense,Income Statement,UNRESOLVED,0
NATIONAL ADVERTISING FUND (5% ON NET SALES) - Bebang Enterprise Inc.,,6020101,NATIONAL ADVERTISING FUND (5% ON NET SALES) - BEI,,,Expense,Income Statement,UNRESOLVED,0
NON-CONTROLLABLES - Bebang Enterprise Inc.,,6020000,NON-CONTROLLABLES - BEI,,,Expense,Income Statement,UNRESOLVED,0
NON-CURRENT ASSETS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1200000,NON-CURRENT ASSETS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
NON-CURRENT LIABILITIES - Bebang Enterprise Inc.,,2200000,NON-CURRENT LIABILITIES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
NON-TRADE PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2101000,NON-TRADE PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
NON-TRADE RECEIVABLES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103200,NON-TRADE RECEIVABLES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
OFFICE EQUIPMENT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206405,OFFICE EQUIPMENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
OFFICE SUPPLIES - Bebang Enterprise Inc.,,6006003,OFFICE SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OPERATING EXPENSES - Bebang Enterprise Inc.,,6000000,OPERATING EXPENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OPERATING SUPPLIES - Bebang Enterprise Inc.,,6006000,OPERATING SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OPERATING SUPPLIES-COMMISSARY - Bebang Enterprise Inc.,,6006004,OPERATING SUPPLIES-COMMISSARY - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHER ASSETS - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1207100,OTHER ASSETS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
OTHER CHARGES - Bebang Enterprise Inc.,,6030001,OTHER CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHER CURRENT ASSETS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105000,OTHER CURRENT ASSETS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
OTHER INCOME - Bebang Enterprise Inc.,,6030000,OTHER INCOME - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHER PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102100,OTHER PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
OTHER PROFESSIONAL FEE - Bebang Enterprise Inc.,,6020604,OTHER PROFESSIONAL FEE - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHER TAX CREDITS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105106,OTHER TAX CREDITS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
OTHER TAXES & LICENSES - Bebang Enterprise Inc.,,6020505,OTHER TAXES & LICENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHERS - Bebang Enterprise Inc.,,6010212,OTHERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
OTHERS EMPLOYEE BENEFITS - Bebang Enterprise Inc.,,6002308,OTHERS EMPLOYEE BENEFITS - BEI,,,Expense,Income Statement,UNRESOLVED,0
OUTING/SPORTSFEST & PARTIES - Bebang Enterprise Inc.,,6002307,OUTING/SPORTSFEST & PARTIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OUTPUT VAT PAYABLE - Bebang Enterprise Inc.,SHORT TERM DEBT - Bebang Enterprise Inc.,2102205,OUTPUT VAT PAYABLE - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
OUTSIDE SERVICES - Bebang Enterprise Inc.,,6009000,OUTSIDE SERVICES - BEI,,,Expense,Income Statement,UNRESOLVED,0
OUTSIDE SERVICES-OTHERS - Bebang Enterprise Inc.,,6009002,OUTSIDE SERVICES-OTHERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
PACKAGING - Bebang Enterprise Inc.,,5000002,PACKAGING - BEI,,,Income,Income Statement,UNRESOLVED,0
PAYMONGO CHARGES - Bebang Enterprise Inc.,,6030006,PAYMONGO CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
PAYROLL TAXES - Bebang Enterprise Inc.,,6002200,PAYROLL TAXES - BEI,,,Expense,Income Statement,UNRESOLVED,0
PAYROLL WITHOLDING TAXES PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102104,PAYROLL WITHOLDING TAXES PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
PERCENTAGE RENT - VARIABLE - Bebang Enterprise Inc.,,6020203,PERCENTAGE RENT - VARIABLE - BEI,,,Expense,Income Statement,UNRESOLVED,0
PEST CONTROL SERVICES - Bebang Enterprise Inc.,,6009001,PEST CONTROL SERVICES - BEI,,,Expense,Income Statement,UNRESOLVED,0
PETTY CASH FUND - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1113000,PETTY CASH FUND - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
PHIC CONTRIBUTION-CREW/STAFF - Bebang Enterprise Inc.,,6002206,PHIC CONTRIBUTION-CREW/STAFF - BEI,,,Expense,Income Statement,UNRESOLVED,0
PHIC CONTRIBUTION-MGT - Bebang Enterprise Inc.,,6002203,PHIC CONTRIBUTION-MGT - BEI,,,Expense,Income Statement,UNRESOLVED,0
PHOTOCOPY & FILM DEVELOPING - Bebang Enterprise Inc.,,6010209,PHOTOCOPY & FILM DEVELOPING - BEI,,,Expense,Income Statement,UNRESOLVED,0
PNB - H.O (1480) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101106,PNB - H.O (1480) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
POSTAGE & COURIER - Bebang Enterprise Inc.,,6004006,POSTAGE & COURIER  - BEI,,,Expense,Income Statement,UNRESOLVED,0
PREPAID EXPENSES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105200,PREPAID EXPENSES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
PREPAID RENT - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105201,PREPAID RENT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
PREPAID TAXES AND LICENSES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105102,PREPAID TAXES AND LICENSES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
PREPAYMENTS - OTHERS - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1105202,PREPAYMENTS - OTHERS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
PRODUCT TEST - Bebang Enterprise Inc.,,6010203,PRODUCT TEST - BEI,,,Expense,Income Statement,UNRESOLVED,0
PROFESSIONAL FEES - Bebang Enterprise Inc.,,6020600,PROFESSIONAL FEES - BEI,,,Expense,Income Statement,UNRESOLVED,0
PROJECT COST RELATED - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1206407,PROJECT COST RELATED - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
"PROPERTY, PLANT AND EQUIPMENT - BEI",NON-CURRENT ASSETS - Bebang Enterprise Inc.,12064000,"PROPERTY, PLANT AND EQUIPMENT - BEI",,,Asset,Balance Sheet,NOOP,0
PROVISION FOR INVENTORY OBSOLESCENCES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104101,PROVISION FOR INVENTORY OBSOLESCENCES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
R&M - CONTRACT SERVICES - Bebang Enterprise Inc.,,6008002,R&M - CONTRACT SERVICES - BEI,,,Expense,Income Statement,UNRESOLVED,0
R&M - IN-HOUSE - Bebang Enterprise Inc.,,6008001,R&M - IN-HOUSE - BEI,,,Expense,Income Statement,UNRESOLVED,0
R&M - MATERIALS AND SUPPLIES - Bebang Enterprise Inc.,,6008003,R&M - MATERIALS AND SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
R&M - VEHICLE - Bebang Enterprise Inc.,,6008004,R&M - VEHICLE - BEI,,,Expense,Income Statement,UNRESOLVED,0
RECEIVABLES FROM PAYMONGO - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103103,RECEIVABLES FROM PAYMONGO - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
RECRUITMENT EXPENSES - Bebang Enterprise Inc.,,6010206,RECRUITMENT EXPENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
RENT PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102106,RENT PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
RENT-OTHERS - Bebang Enterprise Inc.,,6020303,RENT-OTHERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
REPAIRS & MAINTENANCE - Bebang Enterprise Inc.,,6008000,REPAIRS & MAINTENANCE - BEI,,,Expense,Income Statement,UNRESOLVED,0
REPRESENTATION & ENTERTAINMENT-OTHERS - Bebang Enterprise Inc.,,6010100,REPRESENTATION & ENTERTAINMENT-OTHERS - BEI,,,Expense,Income Statement,UNRESOLVED,0
RETAINED EARNINGS - Bebang Enterprise Inc.,,3000003,Retained Earnings - BEI,Equity - BEI,,Equity,Balance Sheet,RENAME,0
REVOLVING FUND - HO - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1116000,REVOLVING FUND - HO - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
ROYALTY FEE (5.0%) - Bebang Enterprise Inc.,,6020712,ROYALTY FEE (5.0%) - BEI,,,Expense,Income Statement,UNRESOLVED,0
ROYALTY FEE (7.0%) - Bebang Enterprise Inc.,,6020711,ROYALTY FEE (7.0%) - BEI,,,Expense,Income Statement,UNRESOLVED,0
SALARIES PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102101,SALARIES PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
SECURITY DEPOSIT - Bebang Enterprise Inc.,TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,1207101,SECURITY DEPOSIT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
SHORT TERM DEBT - Bebang Enterprise Inc.,,2104100,SHORT TERM DEBT - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
SMALLWARES SUPPLIES - Bebang Enterprise Inc.,,6007000,SMALLWARES SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
SPONSORSHIP - Bebang Enterprise Inc.,,6010202,SPONSORSHIP - BEI,,,Expense,Income Statement,UNRESOLVED,0
"SSS, PHIC, PAG IBIG PAYABLES - Bebang Enterprise Inc.",TAXES PAYABLES - Bebang Enterprise Inc.,2102103,"SSS, PHIC, PAG IBIG PAYABLES - BEI",,,Liability,Balance Sheet,UNRESOLVED,0
SSS/MED/ECC-CREW/STAFF - Bebang Enterprise Inc.,,6002204,SSS/MED/ECC-CREW/STAFF - BEI,,,Expense,Income Statement,UNRESOLVED,0
SSS/MED/ECC-MGT - Bebang Enterprise Inc.,,6002201,SSS/MED/ECC-MGT - BEI,,,Expense,Income Statement,UNRESOLVED,0
STOCK ADJUSTMENT - BEI,LOCAL AD & PROMO - Bebang Enterprise Inc.,5000004,Stock Adjustment - BEI,Stock Expenses - BEI,,Expense,Stock,RENAME,0
Stock Received But Not Billed - BEI,CURRENT LIABILITIES - Bebang Enterprise Inc.,,Stock Received But Not Billed - BEI,Stock Liabilities - BEI,,Liability,Stock Received But Not Billed,NOOP,0
STOCKHOLDER'S EQUITY - Bebang Enterprise Inc.,,3000000,STOCKHOLDER'S EQUITY - BEI,,,Equity,Balance Sheet,UNRESOLVED,0
STORE SUPPLIES - Bebang Enterprise Inc.,,6006001,STORE SUPPLIES - BEI,,,Expense,Income Statement,UNRESOLVED,0
TAX EXPENSE - Bebang Enterprise Inc.,,7100001,TAX EXPENSE - BEI,,,Income,Income Statement,UNRESOLVED,0
TAXES AND LICENSES - Bebang Enterprise Inc.,,6020500,TAXES AND LICENSES - BEI,,,Expense,Income Statement,UNRESOLVED,0
TAXES PAYABLES - Bebang Enterprise Inc.,,2102200,TAXES PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
TELEPHONE & FAX CHARGES - Bebang Enterprise Inc.,,6004003,TELEPHONE & FAX CHARGES - BEI,,,Expense,Income Statement,UNRESOLVED,0
Temporary Opening - Bebang Enterprise Inc.,ASSETS - Bebang Enterprise Inc.,,Temporary Opening - BEI,Temporary Accounts - BEI,,Asset,Temporary,RENAME,0
TOLL & PARKING FEES - Bebang Enterprise Inc.,,6010004,TOLL & PARKING FEES - BEI,,,Expense,Income Statement,UNRESOLVED,0
TRADE AND OTHER PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2101100,TRADE AND OTHER PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
TRADE AND OTHER RECEIVABLES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103000,TRADE AND OTHER RECEIVABLES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
TRADE RECEIVABLES - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103100,TRADE RECEIVABLES - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
TRAINING & SEMINAR - Bebang Enterprise Inc.,,6002304,TRAINING & SEMINAR - BEI,,,Expense,Income Statement,UNRESOLVED,0
TRANSPORTATION & TRAVEL - Bebang Enterprise Inc.,,6010000,TRANSPORTATION & TRAVEL - BEI,,,Expense,Income Statement,UNRESOLVED,0
UNIFORMS - Bebang Enterprise Inc.,,6002302,UNIFORMS - BEI,,,Expense,Income Statement,UNRESOLVED,0
Unionbank - CMSSRY (2268) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101109,Unionbank - CMSSRY (2268) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
Unionbank - H.O (6889) - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1101105,Unionbank - H.O (6889) - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
UTILITIES PAYABLES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102105,UTILITIES PAYABLES - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
UTILITY COSTS - Bebang Enterprise Inc.,,6004000,UTILITY COSTS - BEI,,,Expense,Income Statement,UNRESOLVED,0
"VAT, WITHHOLDING AND TAX CREDITS - Bebang Enterprise Inc.","PROPERTY, PLANT AND EQUIPMENT - BEI",1105100,"VAT, WITHHOLDING AND TAX CREDITS - BEI",,,Asset,Balance Sheet,UNRESOLVED,0
WASTAGES & SHRINKAGES - Bebang Enterprise Inc.,,5000003,WASTAGES & SHRINKAGES - BEI,,,Income,Income Statement,UNRESOLVED,0
WATER - Bebang Enterprise Inc.,,6004002,WATER - BEI,,,Expense,Income Statement,UNRESOLVED,0
WITHOLDING TAX - COMPENSATION PAYABLE - Bebang Enterprise Inc.,SHORT TERM DEBT - Bebang Enterprise Inc.,2102203,WITHOLDING TAX - COMPENSATION PAYABLE - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
WITHOLDING TAX - EXPANDED PAYABLE - Bebang Enterprise Inc.,SHORT TERM DEBT - Bebang Enterprise Inc.,2102202,WITHOLDING TAX - EXPANDED PAYABLE - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
WITHOLDING TAX - FINAL PAYABLE - Bebang Enterprise Inc.,SHORT TERM DEBT - Bebang Enterprise Inc.,2102204,WITHOLDING TAX - FINAL PAYABLE - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
WTAX EXPENSE - Bebang Enterprise Inc.,,7100002,WTAX EXPENSE - BEI,,,Income,Income Statement,UNRESOLVED,0
4000100 - STORE SALES - BEI,SALES - Bebang Enterprise Inc.,4000100,STORE SALES - BEI,SALES - BEI,4000100,Income,,RENAME,1
4000200 - BKI SALES - BEI,SALES - Bebang Enterprise Inc.,4000200,BKI SALES - BEI,SALES - BEI,4000200,Income,,RENAME,1
4000230 - FEES - BEI,SALES - Bebang Enterprise Inc.,4000230,FEES - BEI,SALES - BEI,4000230,Income,,RENAME,1
4000900 - DISCOUNTS AND PROMO - BEI,SALES - Bebang Enterprise Inc.,4000900,DISCOUNTS AND PROMO - BEI,SALES - BEI,4000900,Income,,RENAME,1
ACCOUNTS PAYABLE - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2101101,Accounts Payable - BEI,Current Liabilities - BEI,,Liability,Balance Sheet,RENAME,0
ACCOUNTS RECEIVABLE - Bebang Enterprise Inc.,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103101,Accounts Receivable - BEI,Current Assets - BEI,,Asset,Balance Sheet,RENAME,0
4000110 - IN-STORE SALES - BEI,4000100 - STORE SALES - BEI,4000110,IN-STORE SALES - BEI,STORE SALES - BEI,4000110,Income,Income Account,RENAME,0
4000120 - ONLINE SALES - BEI,4000100 - STORE SALES - BEI,4000120,ONLINE SALES - BEI,STORE SALES - BEI,4000120,Income,,RENAME,1
4000210 - DELIVERIES - BEI,4000200 - BKI SALES - BEI,4000210,DELIVERIES - BEI,BKI SALES - BEI,4000210,Income,Income Account,RENAME,0
4000220 - LOGISTICS - BEI,4000200 - BKI SALES - BEI,4000220,LOGISTICS - BEI,BKI SALES - BEI,4000220,Income,,RENAME,1
